year,mu,s,week,fitted_cdf,year_group
1979,18.75976007155734,0.6116147500995176,14,4.1688439483977694e-4,Other
2013,19.252739332071425,0.6680876749555522,14,3.8481987333646294e-4,Other
1996,21.538531553531655,0.9399802383341086,14,3.28750377734404e-4,Other
1993,18.6252594997513,0.5741017416492514,14,3.1692914092176625e-4,Other
1991,18.53136866815894,0.5593398868847537,14,3.030591847147801e-4,Other
2000,18.12095130340071,0.47397641129073054,14,1.6748943642670833e-4,Other
2003,17.50002707329803,0.35719505789524125,14,5.55237811296877e-5,Other
1998,20.208173071789812,0.6310092174435861,14,5.335537989925696e-5,Other
1992,19.1450992809687,0.517837359071354,14,4.841058269336291e-5,Other
2001,17.65648669532134,0.3637777391716925,14,4.312215254779698e-5,Other
2011,21.758945599078544,0.5427990900587114,14,6.195181924372393e-7,Other
2005,16.541631311628272,1.2109928083645276,15,0.21873884687406195,Other
2010,16.6390782236277,1.0721649415065384,15,0.17817582041738916,Other
2012,16.78877955420752,0.9900779361651335,15,0.14103673055827257,Other
2017,18.525382173135974,1.528833163592439,15,0.09063303484116317,Other
1990,17.851895029727196,1.0565709543451416,15,0.06302065084276263,Other
1994,17.471323506363426,0.9127694501581843,15,0.06253223197387224,Other
2004,18.24932551046021,1.1659938474108666,15,0.058044762603240235,Other
1997,17.467770373014034,0.7893501202363457,15,0.042034067802034815,Other
2008,19.51236278632033,1.351842174817684,15,0.03429244137489429,Other
2016,19.383594976591883,1.2951375381933548,15,0.03277846081568675,Other
2006,17.23807444335008,0.6440647953481751,15,0.030034282484338076,Other
1995,19.483719479113137,1.237528484154592,15,0.026004824682701554,Other
1983,19.955213158039424,1.3627927890379434,15,0.025678873557865144,Other
1988,17.326824069178695,0.636183026192589,15,0.0251487703149245,Other
2021,19.016865825313612,1.0627491634643094,15,0.022320131892522816,Other
1985,17.461869371428108,0.6416841736675388,15,0.02111201591643913,Other
1981,21.647102462008604,1.624256797100034,15,0.01642488782383981,Other
1982,17.164317134528158,0.5182813754478109,15,0.015128213125143649,Other
1989,22.04114077726732,1.6542699420372284,15,0.013975942485451793,Other
2018,19.11968047659817,0.9543178740683612,15,0.01316572885764618,2018
2020,19.99935456745787,1.1554081864958052,15,0.013036031631102615,Other
2014,19.913683005379703,1.0955557141637242,15,0.011149973667034435,Other
1999,17.550566308908664,0.5529471323010038,15,0.009827674892427115,Other
2022,20.012923021399583,1.0097496888443964,15,0.006932896883511496,Other
1986,18.447153325224846,0.6898973000028762,15,0.00671537164458509,Other
2015,19.051423306698773,0.7531476674842027,15,0.004589786937356856,Other
1987,18.331379908949984,0.6163061628700899,15,0.004472177300379547,Other
2002,21.14873274918691,1.1294270492763459,15,0.004303058963312551,Other
1984,20.32815839383654,0.9724513135827503,15,0.004155739817114944,Other
2007,18.12642902028725,0.5690248741527212,15,0.004093053088358535,Other
1980,18.62132385647612,0.6433192980254367,15,0.003578867361816965,Other
2019,22.95846774999589,1.3544246560089428,15,0.0027984062543779855,2019
1979,18.75976007155734,0.6116147500995176,15,0.0021347504884297905,Other
1991,18.53136866815894,0.5593398868847537,15,0.001808481504402792,Other
1993,18.6252594997513,0.5741017416492514,15,0.0018063053490635155,Other
2013,19.252739332071425,0.6680876749555522,15,0.0017168585151525607,Other
2009,20.140740323295397,0.8033354421916045,15,0.0016600518442801688,Other
2000,18.12095130340071,0.47397641129073054,15,0.0013795558999617436,Other
1996,21.538531553531655,0.9399802383341086,15,9.519640506107958e-4,Other
2003,17.50002707329803,0.35719505789524125,15,9.119137554693393e-4,Other
2001,17.65648669532134,0.3637777391716925,15,6.733987199456764e-4,Other
1992,19.1450992809687,0.517837359071354,15,3.337997472427082e-4,Other
1998,20.208173071789812,0.6310092174435861,15,2.602208830380103e-4,Other
2011,21.758945599078544,0.5427990900587114,15,3.9097982550265735e-6,Other
2005,16.541631311628272,1.2109928083645276,16,0.3900118985771614,Other
2010,16.6390782236277,1.0721649415065384,16,0.3552448534882165,Other
2012,16.78877955420752,0.9900779361651335,16,0.31073522419923033,Other
1994,17.471323506363426,0.9127694501581843,16,0.16632036805504477,Other
